Date, Time, Application,Environment,Release,Publish Type,App Job Name, App Job Build Number,Spinner Job Name, Spinner Job Build Number,App Job Duration,Spinner Job Duration,Total Execution
6/11/2016,13:59:55,WINDPLM,DEV4,,all,PLM-WINDPLM-APP,226,PLM-WINDPLM-DB,203,5 mins 26 secs,0 mins 31 secs,5 mins 58 secs
6/13/2016,2:27:43,ENERGYPLM,DEV2,,app,PLM-ENERGYPLM-APP,162,PLM-ENERGYPLM-DB,116,21 mins 23 secs,,21 mins 23 secs
6/13/2016,4:26:36,WINDPLM,DEV4,,db,PLM-WINDPLM-APP,227,PLM-WINDPLM-DB,204,6 mins 46 secs,0 mins 52 secs,7 mins 38 secs
6/13/2016,6:48:48,WINDPLM,DEV4,,db,PLM-WINDPLM-APP,228,PLM-WINDPLM-DB,205,3 mins 28 secs,0 mins 33 secs,4 mins 2 secs
6/13/2016,7:25:19,WINDPLM,DEV,,app,PLM-WINDPLM-APP,229,PLM-WINDPLM-DB,205,0 mins 0 secs,0 mins 33 secs,0 mins 33 secs
6/13/2016,9:12:57,WINDPLM,DEV4,,app,PLM-WINDPLM-APP,230,PLM-WINDPLM-DB,205,18 mins 27 secs,0 mins 33 secs,19 mins 1 secs
6/13/2016,9:35:02,WINDPLM,DEV3,,all,PLM-WINDPLM-APP,231,PLM-WINDPLM-DB,206,21 mins 20 secs,0 mins 36 secs,21 mins 57 secs
6/13/2016,9:37:31,ENERGYPLM,QA2,,all,PLM-ENERGYPLM-APP,163,PLM-ENERGYPLM-DB,117,28 mins 44 secs,0 mins 29 secs,29 mins 14 secs
6/13/2016,9:42:51,ENERGYPLM,QA2,,db,PLM-ENERGYPLM-APP,164,PLM-ENERGYPLM-DB,118,5 mins 1 secs,0 mins 36 secs,5 mins 37 secs
6/13/2016,10:10:28,WINDPLM,QA2,,all,PLM-WINDPLM-APP,232,PLM-WINDPLM-DB,207,13 mins 17 secs,0 mins 38 secs,13 mins 56 secs
6/13/2016,11:44:19,WINDPLM,QA2,,all,PLM-WINDPLM-APP,233,PLM-WINDPLM-DB,208,5 mins 49 secs,0 mins 33 secs,6 mins 23 secs
6/14/2016,3:25:51,WINDPLM,DEV4,,all,PLM-WINDPLM-APP,234,PLM-WINDPLM-DB,209,13 mins 6 secs,0 mins 38 secs,13 mins 45 secs
6/14/2016,4:12:27,ENERGYPLM,QA2,,all,PLM-ENERGYPLM-APP,165,PLM-ENERGYPLM-DB,119,8 mins 19 secs,0 mins 30 secs,8 mins 49 secs
6/14/2016,6:39:31,ENERGYPLM,DEV1,,db,PLM-ENERGYPLM-APP,166,PLM-ENERGYPLM-DB,120,12 mins 52 secs,0 mins 34 secs,13 mins 27 secs
6/14/2016,6:49:36,WINDPLM,DEV4,,all,PLM-WINDPLM-APP,235,PLM-WINDPLM-DB,210,5 mins 11 secs,0 mins 33 secs,5 mins 45 secs
6/14/2016,7:09:16,ENERGYPLM,DEV1,,db,PLM-ENERGYPLM-APP,167,PLM-ENERGYPLM-DB,121,12 mins 30 secs,0 mins 44 secs,13 mins 14 secs
6/14/2016,8:34:57,ENERGYPLM,QA2,,db,PLM-ENERGYPLM-APP,168,PLM-ENERGYPLM-DB,122,11 mins 27 secs,0 mins 33 secs,12 mins 0 secs
6/14/2016,8:59:37,WINDPLM,QA2,,db,PLM-WINDPLM-APP,236,PLM-WINDPLM-DB,211,11 mins 38 secs,0 mins 38 secs,12 mins 17 secs
6/14/2016,9:00:57,ENERGYPLM,DEV1,,all,PLM-ENERGYPLM-APP,169,PLM-ENERGYPLM-DB,123,18 mins 29 secs,0 mins 40 secs,19 mins 9 secs
6/14/2016,9:12:32,WINDPLM,DEV3,,all,PLM-WINDPLM-APP,237,PLM-WINDPLM-DB,212,11 mins 13 secs,0 mins 32 secs,11 mins 46 secs
6/14/2016,10:55:28,ENERGYPLM,QA2,,db,PLM-ENERGYPLM-APP,170,PLM-ENERGYPLM-DB,124,11 mins 58 secs,0 mins 32 secs,12 mins 31 secs
6/14/2016,11:32:04,ENERGYPLM,QA2,,db,PLM-ENERGYPLM-APP,171,PLM-ENERGYPLM-DB,125,4 mins 17 secs,0 mins 27 secs,4 mins 44 secs
6/14/2016,12:14:33,ENERGYPLM,QA2,,all,PLM-ENERGYPLM-APP,172,PLM-ENERGYPLM-DB,126,6 mins 39 secs,0 mins 28 secs,7 mins 7 secs
6/14/2016,15:43:44,ENERGYPLM,QA2,,db,PLM-ENERGYPLM-APP,173,PLM-ENERGYPLM-DB,127,5 mins 52 secs,0 mins 27 secs,6 mins 19 secs
6/14/2016,15:47:39,ENERGYPLM,QA2,,db,PLM-ENERGYPLM-APP,174,PLM-ENERGYPLM-DB,128,3 mins 53 secs,0 mins 26 secs,4 mins 20 secs
6/14/2016,18:47:14,ENERGYPLM,QA2,,db,PLM-ENERGYPLM-APP,175,PLM-ENERGYPLM-DB,129,4 mins 29 secs,0 mins 28 secs,4 mins 57 secs
6/14/2016,23:47:42,WINDPLM,DEV3,,all,PLM-WINDPLM-APP,238,PLM-WINDPLM-DB,213,5 mins 8 secs,0 mins 32 secs,5 mins 41 secs
6/15/2016,3:07:47,WINDPLM,DEV4,,all,PLM-WINDPLM-APP,239,PLM-WINDPLM-DB,214,12 mins 0 secs,0 mins 52 secs,12 mins 52 secs
6/15/2016,3:39:02,WINDPLM,QA,,db,PLM-WINDPLM-APP,240,PLM-WINDPLM-DB,215,16 mins 29 secs,0 mins 39 secs,17 mins 8 secs
6/15/2016,3:49:22,WINDPLM,DEV3,,all,PLM-WINDPLM-APP,241,PLM-WINDPLM-DB,216,9 mins 46 secs,0 mins 32 secs,10 mins 18 secs
6/15/2016,4:38:29,ENERGYPLM,QA2,,db,PLM-ENERGYPLM-APP,176,PLM-ENERGYPLM-DB,130,5 mins 2 secs,0 mins 45 secs,5 mins 48 secs
6/15/2016,6:06:57,WINDPLM,QA2,,all,PLM-WINDPLM-APP,242,PLM-WINDPLM-DB,217,10 mins 25 secs,0 mins 29 secs,10 mins 55 secs
6/15/2016,6:52:41,WINDPLM,DEV4,,db,PLM-WINDPLM-APP,243,PLM-WINDPLM-DB,218,8 mins 4 secs,0 mins 41 secs,8 mins 46 secs
6/15/2016,7:25:07,ENERGYPLM,QA2,,db,PLM-ENERGYPLM-APP,177,PLM-ENERGYPLM-DB,131,6 mins 28 secs,0 mins 31 secs,6 mins 59 secs
6/15/2016,8:31:52,ENERGYPLM,QA2,,db,PLM-ENERGYPLM-APP,178,PLM-ENERGYPLM-DB,132,5 mins 41 secs,0 mins 29 secs,6 mins 11 secs
6/15/2016,8:32:53,POWERPLM,DEV1,,app,PLM-POWERPLM-APP,8,,,0 mins 0 secs,,0 mins 0 secs
6/15/2016,9:08:52,WINDPLM,DEV3,,db,PLM-WINDPLM-APP,244,PLM-WINDPLM-DB,219,8 mins 43 secs,0 mins 36 secs,9 mins 20 secs
6/15/2016,10:22:47,ENERGYPLM,QA2,,db,PLM-ENERGYPLM-APP,179,PLM-ENERGYPLM-DB,133,4 mins 24 secs,0 mins 29 secs,4 mins 54 secs
6/15/2016,10:58:53,ENERGYPLM,QA2,,app,PLM-ENERGYPLM-APP,180,,,6 mins 55 secs,,6 mins 55 secs
6/15/2016,13:51:33,ENERGYPLM,QA2,,db,PLM-ENERGYPLM-APP,181,PLM-ENERGYPLM-DB,134,3 mins 56 secs,0 mins 27 secs,4 mins 24 secs
6/15/2016,14:05:04,WINDPLM,DEV4,,all,PLM-WINDPLM-APP,245,PLM-WINDPLM-DB,220,10 mins 36 secs,0 mins 37 secs,11 mins 13 secs
6/15/2016,19:16:45,ENERGYPLM,QA2,,db,PLM-ENERGYPLM-APP,182,PLM-ENERGYPLM-DB,135,4 mins 7 secs,0 mins 26 secs,4 mins 33 secs
6/15/2016,23:53:31,WINDPLM,DEV3,,all,PLM-WINDPLM-APP,246,PLM-WINDPLM-DB,221,10 mins 38 secs,0 mins 29 secs,11 mins 7 secs
6/16/2016,0:41:40,ENERGYPLM,QA2,,db,PLM-ENERGYPLM-APP,183,PLM-ENERGYPLM-DB,136,3 mins 56 secs,0 mins 27 secs,4 mins 24 secs
6/16/2016,3:41:06,WINDPLM,DEV3,,all,PLM-WINDPLM-APP,247,PLM-WINDPLM-DB,222,5 mins 28 secs,0 mins 35 secs,6 mins 3 secs
6/16/2016,3:58:46,WINDPLM,QA2,Release_4_4,all,PLM-WINDPLM-APP,248,PLM-WINDPLM-DB,223,11 mins 21 secs,0 mins 31 secs,11 mins 52 secs
6/16/2016,4:02:14,WINDPLM,QA2,Release_4_4,db,PLM-WINDPLM-APP,249,PLM-WINDPLM-DB,224,3 mins 9 secs,0 mins 32 secs,3 mins 42 secs
6/16/2016,4:44:41,ENERGYPLM,QA2,Release_6_0_75,db,PLM-ENERGYPLM-APP,184,PLM-ENERGYPLM-DB,137,5 mins 50 secs,0 mins 28 secs,6 mins 19 secs
6/16/2016,4:45:46,WINDPLM,QA2,Release_4_4,db,PLM-WINDPLM-APP,250,PLM-WINDPLM-DB,225,3 mins 54 secs,0 mins 32 secs,4 mins 26 secs
6/16/2016,5:21:57,WINDPLM,DEV3,wind_dev_4_3_IB,all,PLM-WINDPLM-APP,251,PLM-WINDPLM-DB,226,10 mins 31 secs,0 mins 32 secs,11 mins 3 secs
6/16/2016,6:55:47,WINDPLM,DEV4,wind_dev_4_4,all,PLM-WINDPLM-APP,252,PLM-WINDPLM-DB,227,11 mins 14 secs,0 mins 41 secs,11 mins 56 secs
6/16/2016,13:59:43,WINDPLM,DEV4,wind_dev_4_4,all,PLM-WINDPLM-APP,253,PLM-WINDPLM-DB,228,5 mins 13 secs,0 mins 42 secs,5 mins 55 secs
6/17/2016,3:35:39,WINDPLM,QA2,Release_4_4,all,PLM-WINDPLM-APP,254,PLM-WINDPLM-DB,229,11 mins 57 secs,0 mins 34 secs,12 mins 32 secs
6/17/2016,3:47:24,WINDPLM,DEV3,wind_dev_4_3_IB,all,PLM-WINDPLM-APP,255,PLM-WINDPLM-DB,230,10 mins 59 secs,0 mins 32 secs,11 mins 31 secs
6/17/2016,4:51:22,WINDPLM,DEV,wind_dev_4_2_30,db,PLM-WINDPLM-APP,256,PLM-WINDPLM-DB,231,9 mins 24 secs,0 mins 34 secs,9 mins 58 secs
6/17/2016,6:56:36,WINDPLM,DEV4,wind_dev_4_4,all,PLM-WINDPLM-APP,257,PLM-WINDPLM-DB,232,11 mins 38 secs,0 mins 43 secs,12 mins 21 secs
6/17/2016,9:37:42,ENERGYPLM,QA2,Release_6_0_80,all,PLM-ENERGYPLM-APP,186,PLM-ENERGYPLM-DB,138,16 mins 32 secs,0 mins 39 secs,17 mins 11 secs
6/17/2016,10:11:08,ENERGYPLM,QA1,Release_6_0_75,all,PLM-ENERGYPLM-APP,187,PLM-ENERGYPLM-DB,139,16 mins 50 secs,0 mins 39 secs,17 mins 30 secs
6/17/2016,11:47:48,ENERGYPLM,QA1,Release_6_0_80,app,PLM-ENERGYPLM-APP,188,,,18 mins 7 secs,,18 mins 7 secs
6/17/2016,11:54:52,ENERGYPLM,QA2,Release_6_0_80,app,PLM-ENERGYPLM-APP,189,,,7 mins 1 secs,,7 mins 1 secs
6/17/2016,12:08:18,WINDPLM,DEV,wind_dev_4_2_30,db,PLM-WINDPLM-APP,258,PLM-WINDPLM-DB,233,10 mins 5 secs,0 mins 36 secs,10 mins 41 secs
6/17/2016,15:47:24,ENERGYPLM,QA2,Release_6_0_80,all,PLM-ENERGYPLM-APP,190,PLM-ENERGYPLM-DB,140,7 mins 10 secs,0 mins 34 secs,7 mins 44 secs
6/19/2016,20:09:04,ENERGYPLM,QA2,Release_6_0_80,db,PLM-ENERGYPLM-APP,191,PLM-ENERGYPLM-DB,141,17 mins 13 secs,0 mins 57 secs,18 mins 10 secs
6/20/2016,4:01:07,ENERGYPLM,QA2,Release_6_0_80,db,PLM-ENERGYPLM-APP,192,PLM-ENERGYPLM-DB,142,16 mins 59 secs,2 mins 52 secs,19 mins 51 secs
6/20/2016,7:24:44,WINDPLM,QA2,Release_4_4,all,PLM-WINDPLM-APP,259,PLM-WINDPLM-DB,234,71 mins 47 secs,0 mins 41 secs,72 mins 29 secs
6/20/2016,8:47:02,ENERGYPLM,QA2,Release_6_0_80,db,PLM-ENERGYPLM-APP,193,PLM-ENERGYPLM-DB,143,37 mins 26 secs,1 mins 53 secs,39 mins 20 secs
6/20/2016,10:29:30,ENERGYPLM,QA2,Release_6_0_80,all,PLM-ENERGYPLM-APP,194,PLM-ENERGYPLM-DB,144,28 mins 39 secs,1 mins 51 secs,30 mins 31 secs
6/20/2016,14:57:13,WINDPLM,DEV4,wind_dev_4_4,all,PLM-WINDPLM-APP,262,PLM-WINDPLM-DB,235,45 mins 23 secs,0 mins 42 secs,46 mins 5 secs
6/20/2016,17:10:57,ENERGYPLM,QA2,Release_6_0_80,db,PLM-ENERGYPLM-APP,195,PLM-ENERGYPLM-DB,145,35 mins 46 secs,1 mins 52 secs,37 mins 38 secs
6/20/2016,17:37:19,ENERGYPLM,QA2,Release_6_0_80,db,PLM-ENERGYPLM-APP,196,PLM-ENERGYPLM-DB,146,5 mins 7 secs,1 mins 50 secs,6 mins 57 secs
6/21/2016,1:09:06,WINDPLM,DEV,wind_dev_4_2_30,all,PLM-WINDPLM-APP,263,PLM-WINDPLM-DB,236,15 mins 17 secs,0 mins 35 secs,15 mins 53 secs
6/21/2016,4:07:36,ENERGYPLM,QA2,Release_6_0_80,all,PLM-ENERGYPLM-APP,197,PLM-ENERGYPLM-DB,147,27 mins 43 secs,0 mins 39 secs,28 mins 22 secs
6/21/2016,4:13:31,ENERGYPLM,QA2,Release_6_0_80,db,PLM-ENERGYPLM-APP,198,PLM-ENERGYPLM-DB,148,5 mins 31 secs,0 mins 50 secs,6 mins 22 secs
6/21/2016,4:31:31,WINDPLM,DEV3,wind_dev_4_3_IB,all,PLM-WINDPLM-APP,264,PLM-WINDPLM-DB,237,11 mins 24 secs,0 mins 31 secs,11 mins 55 secs
